province,city,terminal_name
충청남도,금산군,인삼랜드휴게소(하남방향)고속버스환승정류소
충청남도,논산시,논산버스터미널
충청남도,논산시,연무대시외버스정류장
충청남도,논산시,황화
충청남도,당진시,기지시버스정류장
충청남도,당진시,당진버스터미널
충청남도,당진시,삽교천시외버스터미널
충청남도,당진시,송악신도시
충청남도,당진시,신평고속버스정류장
충청남도,당진시,합덕버스터미널
충청남도,보령시,보령종합터미널
충청남도,부여군,부여시외버스터미널
충청남도,부여군,한국전통문화대
충청남도,서산시,고북정류소
충청남도,서산시,대산(서산시)
충청남도,서산시,서산공용버스터미널
충청남도,서산시,성연정류장
충청남도,서산시,운산정류소
충청남도,서산시,음암정류소
충청남도,서산시,한서대정류소
충청남도,서산시,해미정류소
충청남도,서천군,서천버스정류장
충청남도,서천군,장항버스정류장
충청남도,아산시,밀두리
충청남도,아산시,배방환승정류장
충청남도,아산시,신창정류소
충청남도,아산시,아산서부봉강교정류소
충청남도,아산시,아산시외버스터미널
충청남도,아산시,천안아산역KTX정류소
충청남도,예산군,내포신도시고속시외버스정류소
충청남도,예산군,신례원정류소
충청남도,예산군,신양정류소
충청남도,예산군,예산종합터미널
충청남도,예산군,임성동
충청남도,천안시 동남구,천안시외버스터미널
충청남도,천안시 동남구,코리아텍정류장
충청남도,천안시 서북구,성환버스터미널
충청남도,천안시 서북구,쌍용동정류장
충청남도,청양군,운곡정류소
충청남도,청양군,청양시외버스터미널
충청남도,청양군,화성정류소
충청남도,태안군,만리포시외버스정류소
충청남도,태안군,안면도버스정류소
충청남도,태안군,창기리정류소
충청남도,태안군,태안공영버스터미널
충청남도,태안군,태안남면정류소
충청남도,홍성군,갈산(홍성군)
충청남도,홍성군,광천버스터미널
충청남도,홍성군,홍성종합터미널
경상북도,경산시,경산시외버스정류장
경상북도,경산시,대구대정류소
경상북도,경산시,영남대시외버스정류장
경상북도,경산시,하양정류소
경상북도,경주시,경주고속터미널
경상북도,경주시,경주시외버스터미널
경상북도,경주시,안강동부정류장
경상북도,고령군,고령시외버스정류장
경상북도,구미시,구미공단정류소
경상북도,구미시,구미복지정류소
경상북도,구미시,구미종합터미널
경상북도,김천시,김천구미역정류소
경상북도,김천시,김천부곡공항버스정류장
경상북도,김천시,김천시외버스정류장
경상북도,문경시,문경버스터미널
경상북도,문경시,점촌터미널
경상북도,봉화군,법전정류소
